Estado,Sexo,Rango_Edades,Personas
Guanajuato,Mujeres,De 45 a 49 años,1665
Guanajuato,Mujeres,De 50 a 54 años,1427
Guanajuato,Mujeres,De 55 a 59 años,999
Guanajuato,Mujeres,De 60 a 64 años,813
Guanajuato,Mujeres,De 65 a 69 años,537
Guerrero,Hombres,De 15 a 19 años,6265
Guerrero,Hombres,De 20 a 24 años,5870
Guerrero,Hombres,De 25 a 29 años,4865
Guerrero,Hombres,De 30 a 34 años,4363
Guerrero,Hombres,De 35 a 39 años,3930
Guerrero,Hombres,De 40 a 44 años,3267
Guerrero,Hombres,De 45 a 49 años,2825
Guerrero,Hombres,De 50 a 54 años,2483
Guerrero,Hombres,De 55 a 59 años,1893
Guerrero,Hombres,De 60 a 64 años,1377
Guerrero,Hombres,De 65 a 69 años,967
Guerrero,Mujeres,De 15 a 19 años,5016
Guerrero,Mujeres,De 20 a 24 años,4711
Guerrero,Mujeres,De 25 a 29 años,3684
Guerrero,Mujeres,De 30 a 34 años,3279
Guerrero,Mujeres,De 35 a 39 años,2887
Guerrero,Mujeres,De 40 a 44 años,2238
Guerrero,Mujeres,De 45 a 49 años,1903
Guerrero,Mujeres,De 50 a 54 años,1448
Guerrero,Mujeres,De 55 a 59 años,936
Guerrero,Mujeres,De 60 a 64 años,719
Guerrero,Mujeres,De 65 a 69 años,545
Hidalgo,Hombres,De 15 a 19 años,3745
Hidalgo,Hombres,De 20 a 24 años,3793
Hidalgo,Hombres,De 25 a 29 años,3274
Hidalgo,Hombres,De 30 a 34 años,2928
Hidalgo,Hombres,De 35 a 39 años,2569
Hidalgo,Hombres,De 40 a 44 años,2132
Hidalgo,Hombres,De 45 a 49 años,1886
Hidalgo,Hombres,De 50 a 54 años,1654
Hidalgo,Hombres,De 55 a 59 años,1216
Hidalgo,Hombres,De 60 a 64 años,844
Hidalgo,Hombres,De 65 a 69 años,620
Hidalgo,Mujeres,De 15 a 19 años,2756
Hidalgo,Mujeres,De 20 a 24 años,2833
Hidalgo,Mujeres,De 25 a 29 años,2552
Hidalgo,Mujeres,De 30 a 34 años,2265
Hidalgo,Mujeres,De 35 a 39 años,1996
Hidalgo,Mujeres,De 40 a 44 años,1667
Hidalgo,Mujeres,De 45 a 49 años,1293
Hidalgo,Mujeres,De 50 a 54 años,981
Hidalgo,Mujeres,De 55 a 59 años,644
Hidalgo,Mujeres,De 60 a 64 años,479
Hidalgo,Mujeres,De 65 a 69 años,341
Jalisco,Hombres,De 15 a 19 años,6908
Jalisco,Hombres,De 20 a 24 años,9631
Jalisco,Hombres,De 25 a 29 años,8905
Jalisco,Hombres,De 30 a 34 años,7019
Jalisco,Hombres,De 35 a 39 años,5990
Jalisco,Hombres,De 40 a 44 años,4757
Jalisco,Hombres,De 45 a 49 años,4026
Jalisco,Hombres,De 50 a 54 años,3765
Jalisco,Hombres,De 55 a 59 años,2958
Jalisco,Hombres,De 60 a 64 años,2463
Jalisco,Hombres,De 65 a 69 años,1821
Jalisco,Mujeres,De 15 a 19 años,5008
Jalisco,Mujeres,De 20 a 24 años,5938
Jalisco,Mujeres,De 25 a 29 años,5197
Jalisco,Mujeres,De 30 a 34 años,4313
Jalisco,Mujeres,De 35 a 39 años,3793
Jalisco,Mujeres,De 40 a 44 años,3051
Jalisco,Mujeres,De 45 a 49 años,2482
Jalisco,Mujeres,De 50 a 54 años,2246
Jalisco,Mujeres,De 55 a 59 años,1587
Jalisco,Mujeres,De 60 a 64 años,1203
Jalisco,Mujeres,De 65 a 69 años,805
México,Hombres,De 15 a 19 años,29524
México,Hombres,De 20 a 24 años,33583
México,Hombres,De 25 a 29 años,28872
México,Hombres,De 30 a 34 años,23985
México,Hombres,De 35 a 39 años,21523
México,Hombres,De 40 a 44 años,18327
México,Hombres,De 45 a 49 años,15082
México,Hombres,De 50 a 54 años,13038
México,Hombres,De 55 a 59 años,9114
México,Hombres,De 60 a 64 años,6516
México,Hombres,De 65 a 69 años,3891
México,Mujeres,De 15 a 19 años,22254
México,Mujeres,De 20 a 24 años,24321
México,Mujeres,De 25 a 29 años,21014
México,Mujeres,De 30 a 34 años,17739
México,Mujeres,De 35 a 39 años,16376
México,Mujeres,De 40 a 44 años,13609
México,Mujeres,De 45 a 49 años,11180
México,Mujeres,De 50 a 54 años,8584
México,Mujeres,De 55 a 59 años,5571
México,Mujeres,De 60 a 64 años,3770
México,Mujeres,De 65 a 69 años,2245
Michoacán de Ocampo,Hombres,De 15 a 19 años,5084
Michoacán de Ocampo,Hombres,De 20 a 24 años,5464
Michoacán de Ocampo,Hombres,De 25 a 29 años,4709
Michoacán de Ocampo,Hombres,De 30 a 34 años,3838
Michoacán de Ocampo,Hombres,De 35 a 39 años,3402
Michoacán de Ocampo,Hombres,De 40 a 44 años,2917
Michoacán de Ocampo,Hombres,De 45 a 49 años,2616
Michoacán de Ocampo,Hombres,De 50 a 54 años,2510
Michoacán de Ocampo,Hombres,De 55 a 59 años,1980
Michoacán de Ocampo,Hombres,De 60 a 64 años,1551
Michoacán de Ocampo,Hombres,De 65 a 69 años,1196
Michoacán de Ocampo,Mujeres,De 15 a 19 años,3898
